会員ID,購買日,品番,商品名,カラーコード,カラー名,サイズコード,サイズ名,店舗ブランドコード,店舗ブランド略称,商品ブランドコード,商品ブランド略称,購買点数,税抜金額,VS店舗ID,店舗名,MS店舗ID,販売担当者,担当者コード,売上ID,標準小売単価
RC00004343,2023-01-02,002252800301,ミニシャギーロングスリーブニットカーディガン,03,IVY,099,F,00,MD,00,MD,1,5400,0000028,ルクア大阪,0061001,MD ルクア大阪,060028,004424612860000100001,6000
RC00004343,2023-01-02,002250301501,2WAYリボンパワショルニットドッキングワンピース,14,PNK,003,S,00,MD,00,MD,1,5670,0000028,ルクア大阪,0061001,MD ルクア大阪,060028,004424612860000200001,15400
RC00004343,2023-01-02,002250301401,異素材ドッキングフレアロングスリーブニットワン,72,BGE,004,M,00,MD,00,MD,1,13050,0000028,ルクア大阪,0061001,MD ルクア大阪,060028,004424612860000300001,14500
RC00002627,2023-01-02,002252600801,クロップドニットセット,09,BLK,099,F,00,MD,00,MD,1,5700,0000314,FC高崎モントレー,0033801,MD FC高崎モントレー,060314,004424650920000100001,9500
RC00000611,2023-01-03,002260300701,To/ 異素材パワショルニットワンピース,72,BGE,004,M,00,MD,00,MD,1,12960,0000027,ルミネエスト新宿,0060101,MD ルミネエスト新宿,060027,004425331220000100001,18000
RC00000611,2023-01-03,002252800301,ミニシャギーロングスリーブニットカーディガン,03,IVY,099,F,00,MD,00,MD,1,5400,0000027,ルミネエスト新宿,0060101,MD ルミネエスト新宿,060027,004425331220000200001,6000
RC00001668,2023-01-03,002250301401,異素材ドッキングフレアロングスリーブニットワン,03,IVY,003,S,00,MD,00,MD,1,14500,0000407,RC WEB STORE(ZOZOBASE),0090003,,,004425463440000100001,14500
RC00001668,2023-01-03,002260300201,ラッフルドッキングマーメイドニットワンピース,72,BGE,003,S,00,MD,00,MD,1,11900,0000407,RC WEB STORE(ZOZOBASE),0090003,,,004425463460000100001,17000
RC00001649,2023-01-04,002260300201,ラッフルドッキングマーメイドニットワンピース,03,IVY,004,M,00,MD,00,MD,1,10710,0000027,ルミネエスト新宿,0060101,MD ルミネエスト新宿,060027,004425701530000100001,17000
RC00001649,2023-01-04,002250301501,2WAYリボンパワショルニットドッキングワンピース,03,IVY,004,M,00,MD,00,MD,1,5670,0000027,ルミネエスト新宿,0060101,MD ルミネエスト新宿,060027,004425701530000200001,15400
RC00003195,2023-01-05,002141800501,クリアヒールPVCブロッキングパンプス,09,BLK,228,38,00,MD,00,MD,1,3240,0000407,RC WEB STORE(ZOZOBASE),0090003,,,004426532590000100001,13000
RC00003195,2023-01-05,002210700601,カットフレアパンツ,04,L.GRY,191,M,00,MD,00,MD,1,1458,0000407,RC WEB STORE(ZOZOBASE),0090003,,,004426532590000200001,5400
RC00001668,2023-01-05,002210302801,ハイツイストスタンドカラーニットワンピース,61,LVD,003,S,00,MD,00,MD,1,4500,0000407,RC WEB STORE(ZOZOBASE),0090003,,,004426533670000100001,16000
RC00000691,2023-01-06,002020700201,ウエストドロストサファリショートパンツ,72,BGE,199,F,00,MD,00,MD,1,171,0000407,RC WEB STORE(ZOZOBASE),0090003,,,004427188810000100001,9500
RC00001668,2023-01-06,002140302101,オープンカラーカシュクールシャツワンピース,61,LVD,003,S,00,MD,00,MD,1,3600,0000407,RC WEB STORE(ZOZOBASE),0090003,,,004427190870000100001,11000
RC00003498,2023-01-06,002250302901,コルセットパイピングフラワーワンピース,03,IVY,004,M,00,MD,00,MD,1,6300,0000407,RC WEB STORE(ZOZOBASE),0090003,,,004427191280000100001,18000
RC00001392,2023-01-10,002261800301,ニットドッキングスクエアショートブーツ,03,IVY,226,36,00,MD,00,MD,1,5040,0000027,ルミネエスト新宿,0060101,佐藤 理奈,005689,004428696380000100001,14000
RC00001392,2023-01-10,002261800301,ニットドッキングスクエアショートブーツ,09,BLK,226,36,00,MD,00,MD,1,5040,0000027,ルミネエスト新宿,0060101,佐藤 理奈,005689,004428696380000200001,14000
RC00004108,2023-01-10,002310800101,ぼかしフラワーメッシュリバーシブルスカート,50,BLU,004,M,00,MD,00,MD,1,16000,0000407,RC WEB STORE(ZOZOBASE),0090003,,,004428962630000100001,16000
